host_name;asn;asn_v4;asn_v6;country_code;address_v4;address_v6
tumuenchen01.ring.nlnog.net;56357;;;DE;188.95.233.9;2a00:4700:0:2:2e0:81ff:fe2f:facb
mainloop01.ring.nlnog.net;43893;;;SE;185.9.166.9;2a01:298:f001:a700::10
pcextreme01.ring.nlnog.net;48635;;;NL;109.72.80.176;2a00:0f10:0105:0020:0000:0000:0000:0000
claranet07.ring.nlnog.net;6656;;;GB;81.171.183.186;2a00:ed0:2000:4800::2
infomaniak01.ring.nlnog.net;29222;;;CH;84.16.92.119;2001:1600:3:5::110
a2binternet01.ring.nlnog.net;51088;;;NL;178.249.153.39;2a02:1668:a2b:1011::39
2connect01.ring.nlnog.net;35236;;;CZ;109.205.75.161;2a00:1238:4:2c:3::2
softlayer01.ring.nlnog.net;36351;;;US;174.36.33.50;2607:f0d0:1004:d3::2
obenetwork01.ring.nlnog.net;197595;;;SE;46.227.66.10;2A03:8600:0:132::2
poznan01.ring.nlnog.net;9112;;;PL;150.254.166.148;2001:808:2:3003::5
ebayclassifiedsgroup01.ring.nlnog.net;41552;;;NL;91.211.73.209;2a04:cb40:1a01::2
suomi01.ring.nlnog.net;16302;;;FI;217.119.42.194;2a00:1190:0:1003::2
nodesdirect01.ring.nlnog.net;19531;;;US;23.92.92.198;2604:4600:b01:6122::2
oxilion01.ring.nlnog.net;48539;;;NL;93.186.180.113;2a00:d10:1141:6::5
lightstorm01.ring.nlnog.net;42005;;;SK;92.240.232.158;2a00:10d8:11::3:0:1
softlayer02.ring.nlnog.net;36351;;;US;173.193.70.99;2607:f0d0:1201:30:225:90ff:fe0c:b7c3
dcenterpl01.ring.nlnog.net;49895;;;PL;213.5.10.55;2a00:e800:10::55
exanetworks01.ring.nlnog.net;30740;;;GB;82.219.48.9;2a02:b80:2:7:1::1
digitalocean02.ring.nlnog.net;133165;;;SG;128.199.190.202;2400:6180:0000:00D0:0000:0000:0147:A001
xfernet01.ring.nlnog.net;27630;;;US;72.34.255.127;2607:f350:1:ffff::1:3
